2025-01-12T21:15:05.162+0100 INFO  [RMI TCP Connection(1)-192.168.0.106] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-01-12T21:15:05.162+0100 INFO  [RMI TCP Connection(1)-192.168.0.106] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-01-12T21:15:05.164+0100 INFO  [RMI TCP Connection(1)-192.168.0.106] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-01-12T21:15:12.005+0100 INFO  [http-nio-8061-exec-4] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance GATEWAY-SERVICE/PcVanSimon.mshome.net:gateway-service:8083 with status UP (replication=false)
2025-01-12T21:15:24.221+0100 INFO  [http-nio-8061-exec-2] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance POST-SERVICE/PcVanSimon.mshome.net:post-service:8081 with status UP (replication=false)
2025-01-12T21:15:29.698+0100 INFO  [http-nio-8061-exec-5] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance REVIEW-SERVICE/PcVanSimon.mshome.net:review-service:8082 with status UP (replication=false)
2025-01-12T21:15:32.856+0100 INFO  [http-nio-8061-exec-7] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance COMMENT-SERVICE/PcVanSimon.mshome.net:comment-service:8085 with status UP (replication=false)
2025-01-12T21:15:37.208+0100 INFO  [http-nio-8061-exec-10] com.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance NOTIFICATION-SERVICE/PcVanSimon.mshome.net:notification-service:8084 with status UP (replication=false)
2025-01-12T21:16:04.683+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2025-01-12T21:17:04.684+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2025-01-12T21:18:04.685+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2025-01-12T21:19:04.685+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2025-01-12T21:20:04.691+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 5ms
2025-01-12T21:21:04.695+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
2025-01-12T21:22:04.697+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2025-01-12T21:23:04.697+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2025-01-12T21:24:04.698+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2025-01-12T21:25:04.598+0100 WARN  [Eureka-PeerNodesUpdater] com.netflix.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2025-01-12T21:25:04.698+0100 INFO  [Eureka-EvictionTimer] com.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2025-01-12T21:25:17.467+0100 INFO  [SpringApplicationShutdownHook] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application DISCOVERY-SERVICE with eureka with status DOWN
2025-01-12T21:25:17.513+0100 INFO  [SpringApplicationShutdownHook] org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - Shutting down Eureka Server..
2025-01-12T21:25:17.513+0100 INFO  [SpringApplicationShutdownHook] com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
2025-01-12T21:25:17.514+0100 INFO  [SpringApplicationShutdownHook] com.netflix.eureka.DefaultEurekaServerContext - Shut down
2025-01-12T21:25:17.515+0100 INFO  [SpringApplicationShutdownHook] org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - Eureka Service is now shutdown...
2025-01-12T21:25:17.517+0100 INFO  [SpringApplicationShutdownHook] com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
2025-01-12T21:25:17.518+0100 INFO  [SpringApplicationShutdownHook] com.netflix.eureka.DefaultEurekaServerContext - Shut down
2025-01-12T21:25:17.529+0100 INFO  [SpringApplicationShutdownHook] com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2025-01-12T21:25:17.530+0100 INFO  [SpringApplicationShutdownHook] com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
